cluster,name,description,entity,risk_tier,human_approval,dependencies,purpose
05-dam-active-ownership,value-creation-plan-builder,"Builds quantified value-creation plans linking baseline, levers, initiatives, owners, investment, milestones, KPIs, cash impact, risks, and exit criteria. Use after portfolio diagnosis or before approving transformation capital.",DAM,critical,DAM investment/portfolio committee,,"Builds quantified value-creation plans linking baseline, levers, initiatives, owners, investment, milestones, KPIs, cash impact, risks, and exit criteria. Use after portfolio diagnosis or before approving transformation capital."
05-dam-active-ownership,operational-excellence-diagnostic,"Diagnoses reliability, productivity, cost, quality, service, asset utilization, process waste, maintenance, supply chain, and execution discipline against relevant benchmarks. Use for performance improvement and turnaround design.",DAM,high,Portfolio company and DAM owner,,"Diagnoses reliability, productivity, cost, quality, service, asset utilization, process waste, maintenance, supply chain, and execution discipline against relevant benchmarks. Use for performance improvement and turnaround design."
05-dam-active-ownership,financial-performance-diagnostic,"Analyzes earnings quality, cash conversion, balance sheet, liquidity, leverage, returns, capital intensity, dividend capacity, and value leakage. Use for portfolio reviews, interventions, restructuring, and capital decisions.",DAM,high,Finance and portfolio owner,,"Analyzes earnings quality, cash conversion, balance sheet, liquidity, leverage, returns, capital intensity, dividend capacity, and value leakage. Use for portfolio reviews, interventions, restructuring, and capital decisions."
05-dam-active-ownership,capital-allocation-reviewer,"Reviews capex, opex, dividends, acquisitions, funding, and portfolio capital against strategy, hurdle rates, risk-adjusted return, alternatives, and opportunity cost. Use before approving material resource allocation.",DAM,critical,Authorized capital committee,,"Reviews capex, opex, dividends, acquisitions, funding, and portfolio capital against strategy, hurdle rates, risk-adjusted return, alternatives, and opportunity cost. Use before approving material resource allocation."
05-dam-active-ownership,portfolio-rationalization-analyzer,"Evaluates whether entities, subsidiaries, assets, and business lines should remain standalone, merge, consolidate, divest, liquidate, or form partnerships. Use when structure no longer matches economic or strategic logic.",DAM,critical,DAM and competent corporate bodies,,"Evaluates whether entities, subsidiaries, assets, and business lines should remain standalone, merge, consolidate, divest, liquidate, or form partnerships."
05-dam-active-ownership,merger-consolidation-case,"Builds the economic, strategic, governance, competition, operational, people, technology, and execution case for merger or consolidation. Use only when measurable parenting and synergy advantages exceed integration costs and risks.",DAM,critical,Competent corporate and regulatory authorities,,"Builds the economic, strategic, governance, competition, operational, people, technology, and execution case for merger or consolidation. Use only when measurable parenting and synergy advantages exceed integration costs and risks."
05-dam-active-ownership,divestment-exit-readiness,"Assesses strategic rationale, value, marketability, legal readiness, stakeholder impact, separation complexity, data-room readiness, and timing for divestment or exit. Use for non-core assets and rational ownership decisions.",DAM,critical,Authorized divestment authority,,"Assesses strategic rationale, value, marketability, legal readiness, stakeholder impact, separation complexity, data-room readiness, and timing for divestment or exit. Use for non-core assets and rational ownership decisions."
05-dam-active-ownership,turnaround-triage,"Distinguishes temporary liquidity stress, operational underperformance, balance-sheet distress, governance failure, and structurally broken business models. Use at the first sign of material deterioration or support requests.",DAM,critical,DAM turnaround authority,,"Distinguishes temporary liquidity stress, operational underperformance, balance-sheet distress, governance failure, and structurally broken business models. Use at the first sign of material deterioration or support requests."
05-dam-active-ownership,restructuring-options-designer,"Designs integrated strategic, operational, financial, organizational, governance, leadership, and portfolio restructuring options with scenarios and consequences. Use after turnaround diagnosis and before committing support.",DAM,critical,Authorized restructuring authority,,"Designs integrated strategic, operational, financial, organizational, governance, leadership, and portfolio restructuring options with scenarios and consequences. Use after turnaround diagnosis and before committing support."
05-dam-active-ownership,conditional-capital-designer,"Structures transformation capital with milestones, covenants, management accountability, drawdown gates, monitoring, consequences, and exit criteria. Use to prevent moral hazard and distinguish investable turnaround from bailout.",DAM,critical,Authorized capital and risk authorities,,"Structures transformation capital with milestones, covenants, management accountability, drawdown gates, monitoring, consequences, and exit criteria. Use to prevent moral hazard and distinguish investable turnaround from bailout."
05-dam-active-ownership,management-accountability-contract,"Translates transformation commitments into measurable management outcomes, decision rights, resources, milestones, incentives, consequences, and reporting. Use when leadership is accountable for turnaround or value creation.",DAM,high,Board/shareholder authority,,"Translates transformation commitments into measurable management outcomes, decision rights, resources, milestones, incentives, consequences, and reporting."
05-dam-active-ownership,ceo-transformation-challenger,"Challenges whether a CEO has an evidence-based diagnosis, credible destination, coherent transformation roadmap, capable team, resource plan, milestones, and accountability. Use for appointments, reviews, and major transformation programs.",DAM,high,Board/shareholder authority,,"Challenges whether a CEO has an evidence-based diagnosis, credible destination, coherent transformation roadmap, capable team, resource plan, milestones, and accountability. Use for appointments, reviews, and major transformation programs."
05-dam-active-ownership,talent-meritocracy-assessor,"Assesses whether critical roles are filled by people with the competence, integrity, track record, leadership capacity, and mission fit required for the problem. Use for board, executive, transformation, and succession decisions.",DAM/BPI,critical,Authorized nomination body,,"Assesses whether critical roles are filled by people with the competence, integrity, track record, leadership capacity, and mission fit required for the problem. Use for board, executive, transformation, and succession decisions."
05-dam-active-ownership,enterprise-digital-synergy,"Identifies duplicated applications, data, vendors, capabilities, and platforms; defines what should be shared, standardized, interoperable, federated, or retired. Use for cross-BUMN digital strategy and investment review.",DAM/BPI,high,Enterprise architecture authority,,"Identifies duplicated applications, data, vendors, capabilities, and platforms; defines what should be shared, standardized, interoperable, federated, or retired. Use for cross-BUMN digital strategy and investment review."
05-dam-active-ownership,shared-platform-architect,"Designs reusable enterprise capabilities, data products, integration standards, identity, cybersecurity, cloud, AI, and operating models across portfolio companies. Use when common platforms can outperform fragmented applications.",DAM/BPI,high,Technology and data authority,,"Designs reusable enterprise capabilities, data products, integration standards, identity, cybersecurity, cloud, AI, and operating models across portfolio companies."
05-dam-active-ownership,post-merger-integration-planner,"Plans value capture, Day-1 continuity, governance, organization, talent, culture, processes, systems, data, controls, brand, and stakeholder integration after corporate consolidation. Use before closing and through stabilization.",DAM,high,Integration sponsor,,"Plans value capture, Day-1 continuity, governance, organization, talent, culture, processes, systems, data, controls, brand, and stakeholder integration after corporate consolidation. Use before closing and through stabilization."
06-dim-investment-management,investment-mandate-interpreter,"Translates DIM's mandate into eligible assets, return objectives, risk appetite, impact expectations, geography, liquidity, horizon, concentration, exclusions, and approval requirements. Use before screening or designing an investment strategy.",DIM,critical,DIM mandate authority,,"Translates DIM's mandate into eligible assets, return objectives, risk appetite, impact expectations, geography, liquidity, horizon, concentration, exclusions, and approval requirements. Use before screening or designing an investment strategy."
06-dim-investment-management,investment-theme-generator,"Develops evidence-based investment themes from national priorities, structural trends, market gaps, capabilities, resilience needs, and risk-adjusted opportunity. Use for strategy refresh, origination, and sector allocation.",DIM,high,DIM strategy authority,,"Develops evidence-based investment themes from national priorities, structural trends, market gaps, capabilities, resilience needs, and risk-adjusted opportunity. Use for strategy refresh, origination, and sector allocation."
06-dim-investment-management,opportunity-screening,"Screens opportunities for mandate fit, strategic relevance, commercial logic, readiness, sponsor quality, preliminary risk-return, additionality, impact, and fatal flaws. Use before allocating due-diligence resources.",DIM,high,DIM screening authority,,"Screens opportunities for mandate fit, strategic relevance, commercial logic, readiness, sponsor quality, preliminary risk-return, additionality, impact, and fatal flaws. Use before allocating due-diligence resources."
06-dim-investment-management,investment-thesis-builder,"Builds a falsifiable investment thesis covering value drivers, variant perception, competitive advantage, catalysts, downside, national consequence, entry valuation, ownership plan, and exit logic. Use for shortlisted opportunities.",DIM,critical,Investment team and committee,,"Builds a falsifiable investment thesis covering value drivers, variant perception, competitive advantage, catalysts, downside, national consequence, entry valuation, ownership plan, and exit logic. Use for shortlisted opportunities."
06-dim-investment-management,commercial-due-diligence,"Tests market size, demand, customers, competition, pricing, business model, unit economics, growth, and commercial assumptions using independent evidence. Use before material investment decisions.",DIM,critical,Investment committee,,"Tests market size, demand, customers, competition, pricing, business model, unit economics, growth, and commercial assumptions using independent evidence. Use before material investment decisions."
06-dim-investment-management,financial-due-diligence,"Tests earnings quality, cash flow, debt, working capital, accounting, tax exposure, forecasts, contingent liabilities, and funding needs. Use before investments, acquisitions, restructurings, and valuation reliance.",DIM,critical,Investment committee,,"Tests earnings quality, cash flow, debt, working capital, accounting, tax exposure, forecasts, contingent liabilities, and funding needs. Use before investments, acquisitions, restructurings, and valuation reliance."
06-dim-investment-management,legal-tax-due-diligence,"Reviews ownership, authority, licenses, contracts, litigation, compliance, land, tax, sanctions, change-of-control, and transaction enforceability. Use before commitments, signing, closing, or material restructuring.",DIM,critical,Legal/tax and investment authority,,"Reviews ownership, authority, licenses, contracts, litigation, compliance, land, tax, sanctions, change-of-control, and transaction enforceability. Use before commitments, signing, closing, or material restructuring."
06-dim-investment-management,technical-operational-due-diligence,"Tests technology, design, capacity, reliability, resources, operations, supply chain, capex, schedule, standards, and execution readiness. Use for infrastructure, industrial, energy, digital, and technology investments.",DIM/DDMF,critical,Technical and investment authority,,"Tests technology, design, capacity, reliability, resources, operations, supply chain, capex, schedule, standards, and execution readiness. Use for infrastructure, industrial, energy, digital, and technology investments."
06-dim-investment-management,esg-impact-due-diligence,"Assesses environmental, social, governance, climate, community, labor, human-rights, transition, and measurable development impacts. Use before investment approval and throughout ownership.",DIM/DDMF,critical,ESG and investment authority,,"Assesses environmental, social, governance, climate, community, labor, human-rights, transition, and measurable development impacts. Use before investment approval and throughout ownership."
06-dim-investment-management,integrity-counterparty-due-diligence,"Assesses beneficial ownership, reputation, sanctions, politically exposed persons, corruption risk, litigation, governance, financial credibility, and conduct history. Use for sponsors, sellers, partners, co-investors, advisers, and key contractors.",DIM/DDMF,critical,Compliance and investment authority,,"Assesses beneficial ownership, reputation, sanctions, politically exposed persons, corruption risk, litigation, governance, financial credibility, and conduct history. Use for sponsors, sellers, partners, co-investors, advisers, and key contractors."
06-dim-investment-management,valuation-orchestrator,"Selects and reconciles DCF, comparables, transactions, asset value, project finance, option value, and scenario methods; documents assumptions and valuation range. Use when estimating intrinsic value or negotiating price.",DIM/DAM,critical,Investment or transaction authority,,"Selects and reconciles DCF, comparables, transactions, asset value, project finance, option value, and scenario methods; documents assumptions and valuation range."
